date,AAPL,COST,F,GE,GS,JNJ,KO,TSLA,WMT
2014-01-02,73.523423281972,109.30663044742,12.726741797634,24.266002372097,168.11237115019,81.548515231472,36.092891162978,150.1,71.343743462967
2014-01-03,71.908414888148,108.82416335776,12.784440756561,24.248354370371,169.30984747813,82.28310583336,35.915356036746,149.56,71.108673468031
2014-01-06,72.300536267718,107.99840237738,12.842139715488,24.054226351395,170.46930868455,82.713110088123,35.746697666826,147.0,70.710862707371
2014-01-07,71.783135430437,107.4973788612,12.677285547125,24.080698353982,169.44290040346,84.468960795073,35.853218742565,149.36,70.927850395004
2014-01-08,72.23806269199,105.81802226066,12.809168881816,24.010106347082,169.58545710916,84.352501309408,35.453764708543,151.28,70.367298868619
2014-01-09,71.315447608736,109.95610537581,13.05645013436,24.018930347944,168.59706394959,84.86313136194,35.267352825999,147.53,70.602368863555
2014-01-10,70.839717975691,109.34374330047,13.246032427978,23.789506325517,169.53793820726,84.872089783914,35.622423078463,145.7199,70.557163095298
2014-01-13,71.210571755014,106.48605361557,13.279003261651,23.586554305678,167.15248933176,84.657087656532,35.089817699767,139.34,70.059899644472
2014-01-14,72.627525621529,107.84067275192,13.518041805777,23.79833032638,167.83676151916,84.854172939966,35.231845800753,161.27,70.484833866087
2014-01-15,74.085685463525,107.84995096518,13.765323058322,24.124818358295,169.88007430096,84.925840315759,35.293983094934,164.13,70.213599256546
2014-01-16,73.672296483707,107.21903246332,13.790051183576,24.001282346219,166.47772092475,84.782505564172,35.249599313376,170.97,69.399895427922
2014-01-17,71.867208912667,107.89634203149,13.616954306795,23.454194292739,167.53264054698,85.15875928709,34.867898791977,170.01,68.884549669794
2014-01-21,72.983757925682,106.63450502777,13.526284514195,23.198298267724,164.60547618979,84.236041823743,35.436011195919,176.68,68.568109291996
2014-01-22,73.308088829462,105.53967586278,13.64168243205,22.933578241847,165.06165764806,84.495836060996,35.418257683296,178.56,68.125092763079
2014-01-23,73.928836911697,104.65824560283,13.542769931032,22.783570227183,162.27704999658,83.080405389067,34.83239176673,181.5,67.772487770676
2014-01-24,72.584990421034,104.03660531423,13.048207425942,22.015882152139,159.32137429825,81.172261508554,34.477321514266,174.6,67.284265473502
2014-01-27,73.173837102897,104.91803557418,12.949294924924,22.12177016249,156.51775908601,80.572047236281,34.379677194839,169.62,67.040154324915
2014-01-28,67.325247034727,106.12420329833,12.957537633343,22.46590619613,158.00034882537,80.715381987868,34.503951783201,178.38,67.510294314786
2014-01-29,66.560942650819,104.12938744685,12.681406901334,22.315898181466,155.76696043595,79.64037135096,33.642906420976,175.23,66.994948556658
2014-01-30,66.432273669319,104.59329810999,12.673096674007,22.50120219958,157.61069382977,80.177876669414,33.882578841389,182.84,67.582623543997
2014-01-31,66.541004275586,104.25000421927,12.432100081518,22.174714167665,155.97604360433,79.255159206068,33.571892370483,181.41,67.519335468437
2014-02-03,66.664622202027,102.22735372801,12.091380761102,21.486442100384,151.88941804072,77.741185892422,33.021533479163,177.11,65.69302243086
2014-02-04,67.629639563275,102.88610686966,12.357308035573,21.68057011936,153.73315143453,77.597851140834,33.270082655888,178.73,65.75631050642
2014-02-05,68.134745069163,102.53353476568,12.240964852992,21.636450115048,152.45964486355,78.189106991134,33.385480487939,174.42,65.882886657539
2014-02-06,68.529524898764,106.01286473917,12.340687580918,22.015882152139,153.72364765415,79.505995021347,33.758304253026,178.38,65.837680889282
2014-02-07,69.488250959766,105.8087440474,12.440410308845,22.22765817284,153.894715701,80.661631456023,33.687290202534,186.53,66.67850817886
2014-02-10,70.733123990161,105.6324579954,12.332377353591,22.104122160764,153.01086412562,81.584348919369,34.237649093853,196.56,66.687549332511
2014-02-11,71.665107343743,106.69017430735,12.432100081518,22.439434193542,156.2326456746,83.286449094474,34.299786388034,196.62,67.627829312254
2014-02-12,71.659758802259,106.81079107976,12.465340990827,22.404138190092,155.38680922074,82.793735885891,34.184388555983,195.32,67.772487770676
2014-02-13,72.797661002974,107.74111762867,12.531822809444,22.448258194405,155.91902092204,82.919153793531,34.308663144346,199.63,68.13413391673
2014-02-14,72.73882704665,108.01091232785,12.66478644668,22.712978220282,155.59589238911,83.098322233015,34.557212321071,198.23,68.522903523739
2014-02-18,73.006254120849,107.32247068166,12.789439856588,22.633562212519,156.47974396449,82.569775336535,33.261205899577,203.7,68.107010455776
2014-02-19,71.853643431053,106.90382373465,12.673096674007,22.412962190955,155.1587184916,82.094978971901,32.932765916047,193.64,67.673035080511
2014-02-20,71.021945230295,107.04337271699,12.689717128662,22.360018185779,156.33718725878,82.757902197994,33.110301042279,209.97,66.470561644878
2014-02-21,70.233035361409,105.30366207054,12.598304628062,22.199795125531,156.33718725878,82.57873375851,33.00377996654,209.6,66.108915498823
2014-02-24,70.540576496738,106.00140698222,12.614925082717,22.511339964903,158.2759584564,82.208789693376,33.287836168511,217.65,66.316862032805
2014-02-25,69.806489178062,107.41550333655,12.589994400735,22.493537402653,155.36780165997,82.208789693376,33.527508588925,248.0,66.316862032805
2014-02-26,69.176698418325,107.80624048709,12.681406901334,22.520241246028,155.24425251503,82.208789693376,33.616276152041,253.0,67.609747004951
2014-02-27,70.55662212119,108.12255151372,12.789439856588,22.698266868526,157.70451155366,82.434365342848,33.793811278273,252.54,67.410841624621
2014-02-28,70.365411763138,108.66214091208,12.789439856588,22.671563025151,158.72485154255,83.120115317241,33.909209110324,244.81,67.53741777574
2014-03-03,70.568656339529,107.68529803573,12.631545537371,22.360018185779,157.09421473787,82.614825862425,33.838195059831,250.56,67.01303086396
